Timestep,Average Reward,Episode Reward
1,9.41,0.0
11,9.25,0.0
21,9.35,0.0
31,9.51,0.0
41,9.4,0.0
51,9.48,0.0
61,9.39,0.0
71,9.44,0.0
81,9.25,0.0
91,9.28,0.0
101,9.29,0.0
111,9.16,0.0
121,9.27,0.0
131,23.63,0.0
141,45.81,0.0
151,51.93,0.0
161,59.07,0.0
171,70.21,0.0
181,66.73,0.0
191,65.58,0.0
201,65.55,0.0
211,72.22,0.0
221,74.99,0.0
231,83.03,0.0
241,80.38,0.0
251,83.48,0.0
261,89.4,0.0
271,119.11,0.0
281,158.11,0.0
291,134.12,0.0
301,137.91,0.0
311,166.34,0.0
321,227.71,0.0
331,149.39,0.0
341,161.71,0.0
351,215.32,0.0
361,195.85,0.0
371,204.53,0.0
381,232.43,0.0
391,226.3,0.0
401,192.74,0.0
411,163.52,0.0
421,277.05,0.0
431,259.29,0.0
441,279.82,0.0
451,226.38,0.0
461,159.94,0.0
471,345.54,0.0
481,233.37,0.0
491,136.47,0.0
501,282.73,0.0
511,298.52,0.0
521,314.61,0.0
531,255.84,0.0
541,211.52,0.0
551,293.38,0.0
561,302.71,0.0
571,241.49,0.0
581,242.64,0.0
591,289.36,0.0
601,310.55,0.0
611,348.27,0.0
621,356.67,0.0
631,325.85,0.0
641,259.61,0.0
651,284.4,0.0
661,337.82,0.0
671,303.19,0.0
681,291.5,0.0
691,330.25,0.0
701,360.65,0.0
711,330.81,0.0
721,339.73,0.0
731,347.85,0.0
741,357.05,0.0
751,374.08,0.0
761,416.34,0.0
771,432.19,0.0
781,368.22,0.0
791,369.35,0.0
801,340.89,0.0
811,365.87,0.0
821,330.94,0.0
831,310.36,0.0
841,319.69,0.0
851,334.31,0.0
861,320.85,0.0
871,352.28,0.0
881,352.08,0.0
891,320.57,0.0
901,368.61,0.0
911,356.6,0.0
921,288.73,0.0
931,354.72,0.0
941,377.5,0.0
951,335.69,0.0
961,369.08,0.0
971,350.04,0.0
981,417.0,0.0
991,407.29,0.0
1001,350.87,0.0
1011,327.52,0.0
1021,412.47,0.0
1031,347.86,0.0
1041,319.36,0.0
1051,393.3,0.0
1061,377.97,0.0
1071,400.95,0.0
1081,383.65,0.0
1091,368.54,0.0
1101,397.64,0.0
1111,431.62,0.0
1121,390.14,0.0
1131,424.48,0.0
1141,404.31,0.0
1151,444.88,0.0
1161,451.89,0.0
1171,418.15,0.0
1181,416.46,0.0
1191,443.89,0.0
1201,417.05,0.0
1211,412.26,0.0
1221,381.87,0.0
1231,429.34,0.0
1241,433.29,0.0
1251,443.08,0.0
1261,427.18,0.0
1271,442.6,0.0
1281,445.8,0.0
1291,464.3,0.0
1301,454.58,0.0
1311,450.96,0.0
1321,454.53,0.0
1331,464.95,0.0
1341,422.12,0.0
1351,430.64,0.0
1361,425.81,0.0
1371,461.59,0.0
1381,441.4,0.0
1391,437.72,0.0
1401,437.24,0.0
1411,458.81,0.0
1421,468.64,0.0
1431,442.14,0.0
1441,439.81,0.0
1451,462.65,0.0
1461,432.46,0.0
1471,450.59,0.0
1481,426.51,0.0
1491,458.06,0.0
1501,428.43,0.0
1511,408.74,0.0
1521,430.33,0.0
1531,464.84,0.0
1541,459.86,0.0
1551,449.88,0.0
1561,439.34,0.0
1571,466.72,0.0
1581,468.33,0.0
1591,474.53,0.0
1601,447.3,0.0
1611,461.8,0.0
1621,472.98,0.0
1631,471.91,0.0
1641,480.36,0.0
1651,478.75,0.0
1661,449.54,0.0
1671,459.86,0.0
1681,472.45,0.0
1691,472.08,0.0
1701,470.02,0.0
1711,475.66,0.0
1721,473.78,0.0
1731,473.21,0.0
1741,462.97,0.0
1751,463.4,0.0
1761,466.32,0.0
1771,463.76,0.0
1781,469.63,0.0
1791,480.71,0.0
1801,475.86,0.0
1811,483.96,0.0
1821,479.05,0.0
1831,464.91,0.0
1841,475.16,0.0
1851,474.54,0.0
1861,475.61,0.0
1871,478.87,0.0
1881,459.19,0.0
1891,478.55,0.0
1901,474.79,0.0
1911,476.63,0.0
1921,474.61,0.0
1931,472.31,0.0
1941,475.35,0.0
1951,459.89,0.0
1961,472.46,0.0
1971,480.31,0.0
1981,481.14,0.0
1991,489.38,0.0
2010,468.46,10.0
2020,473.22,20.0
2030,470.02,30.0
2040,477.45,40.0
2050,474.2,50.0
2060,478.25,60.0
2070,461.17,70.0
2080,442.29,80.0
2090,467.8,90.0
2100,474.87,100.0
2110,474.77,110.0
2120,471.42,120.0
2130,487.64,130.0
2140,494.45,140.0
2150,487.37,150.0
2160,488.17,160.0
2170,481.75,170.0
2180,472.72,180.0
2190,489.46,190.0
2200,490.86,200.0
2210,495.19,210.0
2220,496.23,220.0
2230,493.66,230.0
2240,492.55,240.0
2250,496.51,250.0
2260,496.44,260.0
2270,489.87,270.0
2280,494.74,280.0
2290,497.45,290.0
2300,496.39,300.0
2310,498.77,310.0
2320,494.81,320.0
2330,499.49,330.0
2340,499.08,340.0
2350,499.72,350.0
2360,498.69,360.0
2370,496.28,370.0
2380,497.72,380.0
2390,495.78,390.0
2400,494.45,400.0
2410,497.97,410.0
2420,498.59,420.0
2430,499.76,430.0
2440,497.51,440.0
2450,499.8,450.0
2460,499.85,460.0
2470,498.25,470.0
2480,495.74,480.0
2490,496.71,490.0
2510,496.87,10.0
2520,496.93,20.0
2530,498.57,30.0
2540,499.58,40.0
2550,497.66,50.0
2560,497.14,60.0
2570,498.4,70.0
2580,497.35,80.0
2590,496.08,90.0
2600,491.58,100.0
2610,495.36,110.0
2620,494.82,120.0
2630,495.36,130.0
2640,497.69,140.0
2650,494.17,150.0
2660,491.7,160.0
2670,493.18,170.0
2680,493.75,180.0
2690,496.1,190.0
2700,496.68,200.0
2710,497.34,210.0
2720,497.8,220.0
2730,497.48,230.0
2740,497.53,240.0
2750,496.03,250.0
2760,492.86,260.0
2770,495.75,270.0
2780,500.0,280.0
